DS_ITEM	count
Ecodopplercardiograma transtorácico	906
DIÁRIA DE  ENFERMARIA DE 3 LEITOS COM BANHEIRO PRIVATIVO	596
Sessão de psicoterapia individual por psicólogo	572
US - Abdome total (abdome superior, rins, bexiga, aorta, veia cava inferior e adrenais)	550
BUNDLE ENDOSCOPIA DIGESTIVA ALTA C/ OU SEM BIOPSIA	484
Consulta ambulatorial por nutricionista	482
US - Articular (por articulação)	478
Doppler colorido de vasos cervicais arteriais bilateral (carótidas e vertebrais)	457
Anestesia para endoscopia diagnóstica	442
RM - Coluna cervical ou dorsal ou lombar	373
Consulta em psicologia	362
Anestesia para endoscopia intervencionista	324
Teste ergométrico convencional - 3 ou mais derivações simultâneas (inclui ECG basal convencional)	314
BUNDLE COLONOSCOPIA COM BIÓPSIA E/OU CITOLOGIA	307
RM - Articular (por articulação)	306
Visita hospitalar (paciente internado)	293
Tomografia de coerência óptica - monocular	260
Doppler colorido venoso de membro inferior - unilateral	256
US - Transvaginal (útero, ovário, anexos e vagina)	239
RM - Crânio (encéfalo)	237
TC - Tórax	227
US - Estruturas superficiais (cervical ou axila ou músculo ou tendão)	222
TC - Crânio ou sela túrcica ou órbitas	204
TERAPIA ABA (APPLIED BEHAVIOR ANALYSIS)- SESSÃO	194
TC - Abdome total (abdome superior, pelve e retroperitônio)	191
Tireoestimulante, hormônio (TSH) - pesquisa e/ou dosagem	178
Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente)	171
DIÁRIA DE  HOSPITAL DIA ENFERMARIA	162
Doppler colorido de órgão ou estrutura isolada	150
EEGQ quantitativo (mapeamento cerebral)	148
Teste ergométrico computadorizado (inclui ECG basal convencional)	145
Sessão individual ambulatorial de fonoaudiologia	144
"Vitamina ""D"" 25 HIDROXI, pesquisa e/ou dosagem (Vitamina D3)"	138
RX - Joelho	137
Consulta em consultório (no horário normal ou preestabelecido)	136
TERAPIA OCUPACIONAL SENSORIAL	134
Monitorização ambulatorial da pressão arterial - MAPA (24 horas)	127
Consulta individual ambulatorial de fonoaudiologia	125
SESSOES DE QUIMIOTERAPIA - AMBULATORIAL - 7 SESSÕES	116
RM - Pelve (não inclui articulações coxofemorais)	116
T4 livre - pesquisa e/ou dosagem	115
Sessão individual ambulatorial, em terapia ocupacional	113
Terapia antineoplásica oral para tratamento do câncer	112
TC - Coluna cervical ou dorsal ou lombo-sacra (até 3 segmentos)	112
Facectomia com lente intra-ocular com facoemulsificação	112
Cintilografia do miocárdio perfusão - repouso	110
Ferritina - pesquisa e/ou dosagem	109
Vitamina B12 - pesquisa e/ou dosagem	107
Mamografia convencional bilateral	106
US - Mamas	104
Cintilografia do miocárdio perfusão - estresse físico	100
TC - Face ou seios da face	98
Radioscopia para acompanhamento de procedimento cirúrgico (por hora ou fração)	93
Implante de dispositivo intra-uterino (DIU) hormonal - inserção	93
ECG convencional de até 12 derivações	90
Acupuntura por sessão	89
Holter de 24 horas - 2 ou mais canais - analógico	89
ADICIONAL - AVALIAÇÃO INICIAL TERAPÊUTICA	83
DIÁRIA DE  UTI ADULTO GERAL	80
RX - Pé ou pododáctilo	78
PCT HEMODERIVADOS - TIPAGEM SANGUÍNEA	74
BUNDLE POLIPECTOMIA DE CÓLON (INDEPENDENTE DO NÚMERO DE PÓLIPOS) E/OU HEMOSTASIAS	71
Doppler colorido arterial de membro inferior - unilateral	70
RM - Abdome superior (fígado, pâncreas, baço, rins, supra-renais, retroperitônio)	69
Atendimento do intensivista diarista (por dia e por paciente)	68
Exérese de lesão / tumor de pele e mucosas	68
Terapia imunobiológica subcutânea (por sessão) ambulatorial	67
Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas)	65
MEDICAÇÃO PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLÁSICOS	64
BUNDLE POLIPECTOMIA E OU HEMOSTASIA DO ESÔFAGO, ESTÔMAGO OU DUODENO (INDEPENDENTE DO NÚMERO DE PÓLIPOS)	63
RX - Tórax - 2 incidências	62
MIRENA - 52 MG SIU CT BL X 1 + INSERTOR (BL PETG) - BAYER S.A.	61
RX - Coluna total para escoliose (telespondilografia)	61
Angio-RM arterial de crânio	58
Vídeo-laringo-estroboscopia com endoscópio rígido	57
Anestesia para exames de ressonância magnética 	57
Punção biópsia/aspirativa de órgão ou estrutura superficial orientada por US (não inclui o exame de base)	57
Polissonograma com EEG de noite inteira	56
Cesariana	56
TRATAMENTO OCULAR QUIMIOTERAPICO COM ANTIANGIOGENICO	56
AVALIAÇÃO NEUROPSICOLÓGICA	55
Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos	55
US - Obstétrica com Doppler colorido	54
Testosterona total - pesquisa e/ou dosagem	53
SESSÃO INDIVIDUAL AMBULATORIAL EM FONOAUDIOLOGIA PARA AUTISMO	53
RX - Bacia	52
RM - Bacia (articulações sacroilíacas)	51
Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)	51
Implante de cateter venoso central por punção, para NPP, QT, Hemodepuração ou para infusão de soros/drogas	50
US - Órgãos superficiais (tireóide ou escroto ou pênis ou crânio)	50
Creatinina - pesquisa e/ou dosagem	50
SESSAO DE PSICOPEDAGOGIA	50
Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões)	50
Turbinectomia ou turbinoplastia - unilateral	50
PCT - Atendimento em Pronto Socorro	49
Glicose - pesquisa e/ou dosagem	49
