id_auditor_avalicao,request_id,user_id,evaluation,date,auditor_error_justification,comment
1,182541,123,False,2021-01-01,"ele aceitou um leito mas a cirurgia não, deveria negar tudo nesse caso","ele não sabe nada mo ruim"
2,182542,124,True,2021-01-02,"justificativa insuficiente para aprovação","auditor precisa revisar"
3,182543,125,False,2021-01-03,"erro na verificação dos itens","decisão controversa"
4,182544,126,True,2021-01-04,"decisão correta conforme os critérios estabelecidos","justificativa válida"
5,182545,127,False,2021-01-05,"erro de avaliação de critérios","reavaliar critério 3"
6,182546,128,True,2021-01-06,"decisão adequada à condição apresentada","comentário pertinente"
7,182547,129,False,2021-01-07,"justificativa falha, faltou análise mais criteriosa","revisão urgente"
8,182548,130,True,2021-01-08,"avaliação condizente com o solicitado","análise detalhada"
9,182549,131,False,2021-01-09,"auditor aceitou sem justificativa clara","auditor negligente"
10,182550,132,True,2021-01-10,"decisão acertada baseada na análise completa dos documentos","bom trabalho do auditor"
11,182551,133,True,2021-01-11,"justificativa insuficiente para aprovação","auditor precisa ser mais criterioso"
12,182552,134,False,2021-01-12,"erro na avaliação dos itens","verificação necessária"
13,182553,135,True,2021-01-13,"decisão correta de acordo com os critérios","justificativa válida"
14,182554,136,False,2021-01-14,"falta de informações","decisão controversa"
15,182555,137,True,2021-01-15,"justificativa adequada","comentário positivo"
16,182556,138,False,2021-01-16,"avaliação insuficiente","revisão recomendada"
17,182557,139,True,2021-01-17,"decisão justa e correta","análise minuciosa"
18,182558,140,False,2021-01-18,"erro de análise","precisa de mais dados"
19,182559,141,True,2021-01-19,"justificativa clara","boa avaliação do auditor"
20,182560,142,False,2021-01-20,"falta de evidências","decisão errada"
21,182561,143,True,2021-01-21,"análise correta","comentário pertinente"
22,182562,144,False,2021-01-22,"decisão sem justificativa adequada","necessita revisão"
23,182563,145,True,2021-01-23,"justificativa suficiente","decisão válida"
24,182564,146,False,2021-01-24,"erro no processo","precisa ser reavaliado"
25,182565,147,True,2021-01-25,"decisão correta","análise bem feita"
26,182566,148,False,2021-01-26,"falta de dados","decisão inconsistente"
27,182567,149,True,2021-01-27,"justificativa adequada","boa revisão"
28,182568,150,True,2021-01-28,"avaliação falha","análise insuficiente"
29,182569,151,True,2021-01-29,"decisão baseada em critérios claros","justificativa forte"
30,182570,152,True,2021-01-30,"erro de julgamento","verificação necessária"
31,182571,153,True,2021-01-31,"justificativa consistente","análise bem fundamentada"
32,182572,154,True,2021-02-01,"falta de clareza na decisão","necessita de revisão"
33,182573,155,True,2021-02-02,"decisão correta conforme os critérios","justificativa bem apresentada"
34,182574,156,True,2021-02-03,"avaliação falha","decisão deve ser reavaliada"
35,182575,157,True,2021-02-04,"justificativa sólida","boa análise"
36,182576,158,True,2021-02-05,"erro na análise dos itens","precisa ser reexaminada"
37,182577,159,True,2021-02-06,"decisão justificada","comentário positivo"
38,182578,160,True,2021-02-07,"falta de dados relevantes","decisão não justificável"
39,182579,161,True,2021-02-08,"justificativa clara","decisão bem fundamentada"
40,182580,162,False,2021-02-09,"avaliação insuficiente","necessita revisão"
41,182581,163,True,2021-02-10,"decisão baseada em evidências","análise bem feita"
42,182582,164,False,2021-02-11,"erro na verificação dos itens","decisão inconsistente"
43,182583,165,True,2021-02-12,"justificativa adequada","comentário pertinente"
44,182584,166,False,2021-02-13,"falta de informações","decisão errada"
